date,close,other
2020,1411966,967046
2015,1541686,681046
2011,1195160,803482
2006,748130,375143
2001,451644,154502
1997,465751,244003
1991,463271,294477
1988,807460,487593
1984,568310,307731
1980,468616,138384
1976,572818,206403
1972,461333,177973
1968,65812,10082
1963,154178,171246
1959,199731,129312
1955,9288,92969
